cohort_month,months_since_first,cohort_size,retained,retention_rate
2018-04-01,4.066666666666666,9,9,1.0
2018-05-01,0.0,6622,6622,1.0
2018-05-01,1.0333333333333332,35,35,1.0
2018-05-01,2.033333333333333,18,18,1.0
2018-05-01,3.066666666666667,14,14,1.0
2018-06-01,0.0,5940,5940,1.0
2018-06-01,1.0,25,25,1.0
2018-06-01,2.033333333333333,17,17,1.0
2018-06-01,4.066666666666666,1,1,1.0
2018-07-01,0.0,6071,6071,1.0
2018-07-01,1.0333333333333332,44,44,1.0
2018-07-01,2.066666666666667,2,2,1.0
2018-08-01,0.0,6271,6271,1.0
2018-08-01,1.0333333333333332,7,7,1.0
2018-08-01,2.033333333333333,2,2,1.0
2018-09-01,0.0,5,5,1.0
2018-10-01,0.0,1,1,1.0
